taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Eriophyllum lanosum,ITIS:513166,species,ITIS:513166,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Eriophyllum,lanosum,,white easterbonnets
Erodium cicutarium,ITIS:29147,species,ITIS:29147,accepted,2012-06-27,Plantae,NA,Magnoliopsida,Geraniales,Geraniaceae,Erodium,cicutarium,,storks bill
Erodium texanum,ITIS:29153,species,ITIS:29153,accepted,2012-06-27,Plantae,NA,Magnoliopsida,Geraniales,Geraniaceae,Erodium,texanum,,tufted filaree
Eschscholzia californica,ITIS:18956,species,ITIS:18956,accepted,2012-06-27,Plantae,NA,Magnoliopsida,Ranunculales,Papaveraceae,Eschscholzia,californica,,California poppy
Eucrypta,ITIS:31376,genus,ITIS:31376,accepted,2014-12-22,NA,NA,NA,NA,NA,NA,,,hideseed
Eucrypta chrysanthemifolia,ITIS:31377,species,ITIS:31377,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Hydrophyllaceae,Eucrypta,chrysanthemifolia,,spotted hideseed
Eucrypta micrantha,ITIS:31378,species,ITIS:31378,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Hydrophyllaceae,Eucrypta,micrantha,,dainty desert hideseed
Gilia stellata,ITIS:31177,species,ITIS:31177,accepted,2012-01-27,Plantae,NA,Magnoliopsida,Ericales,Polemoniaceae,Gilia,stellata,,star gilia
Gnaphalium,ITIS:36693,genus,ITIS:36693,accepted,2010-10-05,NA,NA,NA,NA,NA,NA,,,cudweed
Harpagonella palmeri,ITIS:31936,species,ITIS:31936,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Boraginaceae,Harpagonella,palmeri,,Palmers grapplinghook
Herniaria hirsuta,ITIS:502957,species,ITIS:502957,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Caryophyllales,Caryophyllaceae,Herniaria,hirsuta,,hairy rupturewort
Hordeum murinum,ITIS:40881,species,ITIS:40881,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Hordeum,murinum,,mouse barley
Houstonia,ITIS:35033,genus,ITIS:35033,accepted,2012-02-27,NA,NA,NA,NA,NA,NA,,,bluet
Krameria grayi,ITIS:26753,species,ITIS:897365,synonym,2012-09-26,Plantae,NA,Magnoliopsida,Zygophyllales,Krameriaceae,Krameria,bicolor,,NA
Lactuca serriola,ITIS:36608,species,ITIS:36608,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Lactuca,serriola,,prickly lettuce
Larrea tridentata,ITIS:29051,species,ITIS:29051,accepted,2012-08-29,Plantae,NA,Magnoliopsida,Zygophyllales,Zygophyllaceae,Larrea,tridentata,,creosotebush
Lasthenia californica,ITIS:503335,species,ITIS:503335,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Lasthenia,californica,,California goldfields
Lepidium lasiocarpum,ITIS:22967,species,ITIS:22967,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,lasiocarpum,,shaggyfruit pepperweed
Lepidium virginica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
